"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Digikey","Kemet","LCSC","Mouser","Rubycon","Sim.Device","Sim.Pins","TDK"
"10","2","C33, C45","4u7","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","1189-4115-ND","","","","35MS54R7MEFC4X5","","",""
"13","3","C44, C50, C53","33n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","445-7523-1-ND","","","","","","","C2012C0G1H333J125AA"
"16","2","C59, C63","1u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","~","","","T491A105K016AT","","80-T491A105K016","","","",""
"17","1","C60","2n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","C1206X202FBGAC7800","","","","","","",""
"22","1","J1","Conn_01x01","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","",""
"23","1","J2","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~","","","","","","","","",""
"24","1","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","",""
"59","2","RV1, RV2","5k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","","","","",""
"60","11","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~","","","","","","","","",""
"62","1","U2","SSI2130_no_pad","z5524:SSI2130_no_pad","project_footprints:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_Handsolder_NoPad","https://www.soundsemiconductor.com/downloads/ssi2130datasheet.pdf","","","","","","","","",""
"64","2","U4, U18","AD5328","z5524:AD5328","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","https://www.analog.com/en/products/ad5308.html","","","","C29162","","","","",""
"65","1","U6","AS3364","z5524:AS3364","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://cabintechglobal.com/pdf/ALFA_RPAR_AS3364.pdf","","","","","","","","",""
"68","1","U9","LM337L_TO92","Regulator_Linear:LM337L_TO92","Package_TO_SOT_THT:TO-92_Inline_Wide","http://www.ti.com/lit/ds/symlink/lm337l.pdf","","","","","","","","",""
"71","1","U15","AS3394","z5524:AS3394","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","","","","","","","","","",""
